    0     0 
   10    12 
   26    13 
   28    24 
   32    36 
   35    37 
   37    48 
   38    14 
   40    49 
   54    25 
   55     1 
   59    26 
    1    15 
    2    38 
    7    39 
   12    27 
   17    50 
   18    16 
   39    17 
   41    40 
   48    41 
   49    42 
   56    28 
   57    43 
    3    29 
    9    30 
   11     2 
   15    51 
   22     3 
   24    52 
   25    53 
   31    31 
   34     4 
   36    44 
   42    32 
   46     5 
    4    33 
    5     6 
   13     7 
   14    18 
   19     8 
   20    19 
   21    34 
   23    54 
   33    45 
   44    55 
   47    35 
   52    46 
    6    20 
    8    21 
   16    56 
   27    57 
   29    47 
   30    58 
   43     9 
   45    10 
   50    22 
   51    23 
   53    59 
   58    11 
