    0     0 
    5    12 
    7    24 
   21    13 
   24    14 
   28     1 
   29    36 
   38     2 
   39    25 
   42    37 
   44    26 
   55    48 
    1    49 
    3    27 
    4    38 
   19    28 
   26    50 
   33    51 
   36    29 
   40    15 
   52    52 
   56     3 
   58    53 
   59    30 
    2     4 
    8    39 
   10    16 
   13    40 
   15     5 
   18     6 
   23    41 
   46    42 
   47    54 
   48    17 
   50    43 
   54    55 
    6    18 
    9    56 
   14     7 
   25     8 
   27    19 
   30    44 
   31     9 
   34    45 
   41    10 
   43    57 
   49    31 
   53    32 
   11    33 
   12    46 
   16    34 
   17    58 
   20    20 
   22    47 
   32    35 
   35    11 
   37    21 
   45    59 
   51    22 
   57    23 
